#Running with delayMicroseconds Timer
#sampleCount	Signal	BPM	IBI	jitter
2	12	0	600	837
4	11	0	600	1041
6	12	0	600	982
8	12	0	600	981
10	12	0	600	988
12	12	0	600	990
14	12	0	600	1007
16	12	0	600	1004
18	12	0	600	1001
20	11	0	600	982
22	12	0	600	1006
24	12	0	600	998
26	11	0	600	988
28	11	0	600	990
30	11	0	600	983
32	11	0	600	986
34	11	0	600	977
36	11	0	600	981
38	12	0	600	987
40	12	0	600	982
42	12	0	600	1847
44	12	0	600	997
46	12	0	600	1008
48	12	0	600	984
50	12	0	600	984
52	12	0	600	999
54	12	0	600	995
56	12	0	600	1022
58	11	0	600	982
60	12	0	600	982
62	12	0	600	979
64	12	0	600	989
66	12	0	600	982
68	17	0	600	999
70	36	0	600	1088
72	40	0	600	1006
74	44	0	600	1032
76	25	0	600	1916
78	12	0	600	1030
80	12	0	600	1023
82	12	0	600	1951
84	12	0	600	991
86	12	0	600	1028
88	16	0	600	1081
90	43	0	600	983
92	59	0	600	999
94	79	0	600	976
96	103	0	600	977
98	119	0	600	974
100	129	0	600	987
102	124	0	600	986
104	117	0	600	976
106	98	0	600	1140
108	77	0	600	1010
110	56	0	600	1013
112	66	0	600	1001
114	73	0	600	1005
116	70	0	600	1022
118	92	0	600	973
120	113	0	600	979
122	134	0	600	1977
124	155	0	600	981
126	145	0	600	979
128	135	0	600	986
130	131	0	600	987
132	93	0	600	987
134	96	0	600	962
136	86	0	600	978
138	112	0	600	1100
140	131	0	600	978
142	153	0	600	974
144	170	0	600	973
146	194	0	600	973
148	203	0	600	1057
150	224	0	600	973
152	219	0	600	982
154	172	0	600	982
156	145	0	600	980
158	122	0	600	985
160	100	0	600	991
162	57	0	600	2135
164	45	0	600	1023
166	56	0	600	983
168	65	0	600	981
170	78	0	600	978
172	91	0	600	998
174	102	0	600	996
176	113	0	600	976
178	129	0	600	975
180	113	0	600	986
182	103	0	600	981
184	94	0	600	988
186	81	0	600	982
188	73	0	600	1012
190	82	0	600	992
192	96	0	600	993
194	113	0	600	975
196	128	0	600	976
198	140	0	600	975
200	156	0	600	978
202	142	0	600	2341
204	135	0	600	995
206	142	0	600	1011
208	148	0	600	976
210	160	0	600	977
212	154	0	600	979
214	139	0	600	979
216	127	0	600	980
218	110	0	600	979
220	97	0	600	986
222	99	0	600	981
224	111	0	600	979
226	124	0	600	997
228	144	0	600	974
230	163	0	600	978
232	170	0	600	982
234	189	0	600	997
236	203	0	600	993
238	220	0	600	994
240	206	0	600	992
242	181	0	600	1944
244	171	0	600	987
246	151	0	600	1036
248	141	0	600	997
250	142	0	600	1012
252	142	0	600	980
254	152	0	600	977
256	157	0	600	979
258	160	0	600	981
260	168	0	600	979
262	170	0	600	980
264	170	0	600	978
266	152	0	600	999
268	131	0	600	987
270	113	0	600	978
272	96	0	600	978
274	79	0	600	997
276	88	0	600	976
278	96	0	600	1002
280	104	0	600	1016
282	119	0	600	1888
284	132	0	600	1004
286	149	0	600	975
288	164	0	600	975
290	153	0	600	1004
292	130	0	600	989
294	88	0	600	994
296	83	0	600	977
298	78	0	600	982
300	77	0	600	972
302	90	0	600	973
304	111	0	600	978
306	134	0	600	994
308	125	0	600	1013
310	121	0	600	992
312	121	0	600	999
314	119	0	600	1126
316	126	0	600	1020
318	127	0	600	992
320	121	0	600	991
322	108	0	600	1939
324	94	0	600	1080
326	92	0	600	978
328	89	0	600	988
330	109	0	600	1007
332	134	0	600	975
334	150	0	600	976
336	156	0	600	977
338	171	0	600	978
340	188	0	600	976
342	194	0	600	978
344	195	0	600	1001
346	181	0	600	977
348	174	0	600	978
350	134	0	600	993
352	125	0	600	977
354	94	0	600	982
356	105	0	600	976
358	89	0	600	987
360	88	0	600	978
362	73	0	600	2101
364	70	0	600	1018
366	63	0	600	984
368	66	0	600	1008
370	58	0	600	991
372	43	0	600	995
374	34	0	600	1007
376	38	0	600	987
378	36	0	600	975
380	62	0	600	974
382	83	0	600	987
384	112	0	600	975
386	134	0	600	1003
388	159	0	600	974
390	175	0	600	984
392	199	0	600	991
394	211	0	600	1126
396	228	0	600	994
398	241	0	600	994
400	246	0	600	992
402	246	0	600	2059
404	246	0	600	983
406	246	0	600	1023
408	246	0	600	974
410	246	0	600	993
412	246	0	600	975
414	246	0	600	975
416	246	0	600	972
418	246	0	600	980
420	246	0	600	977
422	246	0	600	982
424	246	0	600	992
426	246	0	600	992
428	246	0	600	1113
430	246	0	600	992
432	246	0	600	999
434	246	0	600	990
436	246	0	600	1003
438	246	0	600	1007
440	246	0	600	991
442	235	0	600	2193
444	230	0	600	985
446	225	0	600	979
448	210	0	600	984
450	208	0	600	974
452	208	0	600	986
454	203	0	600	975
456	191	0	600	1041
458	188	0	600	975
460	177	0	600	1133
462	173	0	600	994
464	162	0	600	1007
466	155	0	600	997
468	155	0	600	996
470	142	0	600	998
472	144	0	600	992
474	143	0	600	993
476	131	0	600	1037
478	130	0	600	991
480	131	0	600	994
482	113	0	600	1940
484	110	0	600	1014
486	104	0	600	980
488	106	0	600	1154
490	104	0	600	976
492	109	0	600	972
494	108	0	600	1107
496	100	0	600	984
498	101	0	600	973
500	104	0	600	984
502	112	0	600	976
504	101	0	600	980
506	110	0	600	974
508	107	0	600	1008
510	112	0	600	992
512	115	0	600	1022
514	111	0	600	997
516	110	0	600	993
518	115	0	600	993
520	103	0	600	1009
522	103	0	600	1886
524	99	0	600	983
526	107	0	600	973
528	101	0	600	979
530	107	0	600	975
532	105	0	600	1020
534	113	0	600	973
536	112	0	600	978
538	115	0	600	977
540	122	0	600	973
542	119	0	600	979
544	129	0	600	973
546	125	0	600	978
548	130	0	600	998
550	128	0	600	1052
552	124	0	600	1007
554	128	0	600	994
556	133	0	600	993
558	128	0	600	1005
560	133	0	600	995
562	123	0	600	2065
564	131	0	600	979
566	130	0	600	1125
568	124	0	600	985
570	132	0	600	972
572	128	0	600	987
574	118	0	600	1191
576	117	0	600	1147
578	88	0	600	1120
580	72	0	600	1405
582	80	0	600	981
584	87	0	600	976
586	94	0	600	974
588	100	0	600	979
590	107	0	600	974
592	112	0	600	973
594	118	0	600	978
596	123	0	600	985
598	126	0	600	980
600	135	0	600	991
602	130	0	600	1935
604	129	0	600	988
606	130	0	600	976
608	136	0	600	976
610	140	0	600	975
612	146	0	600	1029
614	149	0	600	992
616	150	0	600	977
618	156	0	600	973
620	156	0	600	980
622	162	0	600	973
624	160	0	600	1021
626	162	0	600	1027
628	167	0	600	1051
630	162	0	600	1008
632	168	0	600	993
634	162	0	600	999
636	163	0	600	995
638	158	0	600	1002
640	159	0	600	991
642	145	0	600	1925
644	145	0	600	1004
646	136	0	600	983
648	143	0	600	973
650	131	0	600	1104
652	115	0	600	990
654	104	0	600	986
656	72	0	600	996
658	40	0	600	1020
660	29	0	600	985
662	38	0	600	976
664	24	0	600	979
666	22	0	600	1026
668	21	0	600	975
670	29	0	600	976
672	15	0	600	997
674	25	0	600	1005
676	42	0	600	1067
678	30	0	600	1115
680	44	0	600	1001
682	46	0	600	1858
684	58	0	600	982
686	70	0	600	981
688	78	0	600	980
690	89	0	600	973
692	104	0	600	980
694	103	0	600	1044
696	118	0	600	971
698	124	0	600	980
700	133	0	600	978
702	140	0	600	971
704	145	0	600	981
706	156	0	600	994
708	157	0	600	1002
710	163	0	600	985
712	167	0	600	996
714	176	0	600	992
716	180	0	600	1004
718	169	0	600	1019
720	159	0	600	1030
722	139	0	600	2134
724	139	0	600	1054
726	145	0	600	975
728	144	0	600	975
730	117	0	600	1027
732	102	0	600	997
734	98	0	600	979
736	96	0	600	979
738	88	0	600	988
740	90	0	600	1026
742	92	0	600	974
744	90	0	600	994
746	94	0	600	1018
748	95	0	600	1009
750	96	0	600	1002
752	108	0	600	996
754	114	0	600	992
756	128	0	600	1001
758	130	0	600	999
760	139	0	600	993
762	118	0	600	2124
764	118	0	600	1016
766	123	0	600	1191
768	137	0	600	978
770	143	0	600	979
772	152	0	600	975
774	164	0	600	973
776	164	0	600	975
778	153	0	600	980
780	143	0	600	982
782	125	0	600	985
784	105	0	600	1005
786	81	0	600	1006
788	60	0	600	1010
790	47	0	600	1042
792	63	0	600	997
794	75	0	600	1017
796	91	0	600	1099
798	97	0	600	1003
800	115	0	600	989
802	108	0	600	2168
804	126	0	600	988
806	135	0	600	983
808	145	0	600	976
810	152	0	600	978
812	163	0	600	975
814	172	0	600	976
816	176	0	600	1005
818	187	0	600	975
820	181	0	600	1016
822	180	0	600	989
824	182	0	600	981
826	185	0	600	974
828	193	0	600	974
830	191	0	600	988
832	200	0	600	972
834	195	0	600	1000
836	177	0	600	1102
838	186	0	600	999
840	204	0	600	975
842	198	0	600	2174
844	212	0	600	1006
846	228	0	600	974
848	240	0	600	1110
850	246	0	600	981
852	246	0	600	983
854	246	0	600	977
856	246	0	600	983
858	247	0	600	973
860	246	0	600	1083
862	246	0	600	984
864	246	0	600	979
866	246	0	600	980
868	246	0	600	977
870	247	0	600	976
872	246	0	600	983
874	246	0	600	1008
876	246	0	600	980
878	246	0	600	976
880	246	0	600	974
882	230	0	600	1923
